Account,date,sentiment_binary,classification,value,total_pnl,num_trades,num_winning,num_losing,avg_trade_size,total_volume,avg_execution_price,num_buys,num_sells,total_fees,max_pnl,min_pnl,win_rate,long_short_ratio,net_pnl,is_profitable,pnl_range
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,Fear,Extreme Fear,18.0,16706.884912,797,300,6,6131.710464240904,4886973.24,4598.781944792973,275,522,1181.135135,1265.820644,-8.105264,0.37641154328732745,0.5268199233715466,15525.749777,1,1273.925908
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,Fear,Fear,39.0,13264.043303999999,339,189,42,21898.95651917404,7423746.26,57437.580442477876,231,108,2463.061921,1178.312652,-122.02974,0.5575221238938053,2.138888888886908,10800.981382999998,1,1300.342392
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,Fear,Fear,32.0,5942.547242,313,40,0,8678.024504792333,2716221.67,69.87213418530351,40,273,720.081313,654.979968,0.0,0.12779552715654952,0.14652014652009285,5222.465929,1,654.979968
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,Fear,Fear,37.0,8277.307357,863,424,0,3079.8473348783314,2657908.25,1152.9718458864427,418,445,615.664567,347.237374,0.0,0.49130938586326767,0.9393258426964182,7661.64279,1,347.237374
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,Fear,Fear,39.0,2638.012587,353,61,0,1965.9329745042492,693974.34,1788.4748050141645,61,292,118.03440499999999,365.803866,0.0,0.17280453257790368,0.20890410958896957,2519.9781820000003,1,365.803866
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,Neutral,Neutral,47.0,-19037.340561,594,0,233,8110.89095959596,4817869.23,13751.586594781145,233,361,1377.855618,0.0,-652.149236,0.0,0.6454293628807076,-20415.196179000002,0,652.149236
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,Greed,Greed,72.0,-108176.9187,469,66,170,20030.785479744136,9394438.39,58437.446550746274,236,233,2487.052566,656.549082,-25818.75012,0.14072494669509594,1.012875536480252,-110663.971266,0,26475.299202000002
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,Greed,Greed,63.0,8157.112326,70,66,4,15603.565285714287,1092249.57,5530.608285714286,67,3,273.237342,1219.480108,-119.051532,0.9428571428571428,22.33333333258889,7883.874984,1,1338.53164
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,Greed,Greed,60.0,0.0,1,0,0,0.17,0.17,1770.2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,Greed,Extreme Greed,86.0,159.100072,93,16,10,373.7049462365591,34754.56,1734.0575845053763,49,44,10.268876,40.6629,-9.6025,0.17204301075268819,1.1136363636338327,148.831196,1,50.2654
